Course Name,Feedback,Language,Sentiment
Python for Data Science,The lessons are clear and the examples make Python easy to understand.,English,Positive
Python for Data Science,"The course covers useful topics, but some sections move a little quickly.",English,Neutral
Python for Data Science,The exercises were confusing and I struggled to follow the later modules.,English,Negative
Digital Marketing Fundamentals,I really enjoyed the practical marketing examples and found them useful.,English,Positive
Digital Marketing Fundamentals,"The information is helpful, although I expected more real campaign demonstrations.",English,Neutral
Digital Marketing Fundamentals,The content feels outdated and several explanations are too brief.,English,Negative
UI UX Design Essentials,The wireframing activities were excellent and helped me understand the design process.,English,Positive
UI UX Design Essentials,"The course gives a basic introduction, but I wanted more usability testing practice.",English,Neutral
UI UX Design Essentials,The instructions for the final project were unclear and difficult to apply.,English,Negative
Graphic Design with Canva,I learned several new Canva techniques and the projects were enjoyable.,English,Positive
Graphic Design with Canva,"The tutorials are straightforward, but the pacing could be more consistent.",English,Neutral
Graphic Design with Canva,Too much time is spent on simple tools while advanced topics are barely covered.,English,Negative
Excel for Beginners,The spreadsheet demonstrations are practical and easy to follow.,English,Positive
Excel for Beginners,"The course is understandable, although I would like more practice files.",English,Neutral
Excel for Beginners,"Some formulas are explained without enough examples, which made the lessons frustrating.",English,Negative
Web Development Basics,The projects gave me confidence to build a simple website from scratch.,English,Positive
Web Development Basics,"The material is useful, but the transition between topics feels a little abrupt.",English,Neutral
Web Development Basics,The coding assignments were difficult to complete because the instructions lacked detail.,English,Negative
Python for Data Science,یہ کورس بہت مفید ہے اور پائتھن کے بنیادی تصورات اچھی طرح سمجھاتا ہے۔,Urdu,Positive
Python for Data Science,کورس کی معلومات اچھی ہیں لیکن کچھ موضوعات پر مزید مثالیں ہونی چاہئیں۔,Urdu,Neutral
Python for Data Science,کچھ لیکچرز بہت تیز تھے اور مجھے پروگرامنگ کی مشق سمجھنے میں مشکل ہوئی۔,Urdu,Negative
Digital Marketing Fundamentals,یہ کورس عملی مثالوں کی وجہ سے بہت دلچسپ اور فائدہ مند لگا۔,Urdu,Positive
Digital Marketing Fundamentals,مواد مناسب ہے لیکن مہمات کی عملی وضاحت مزید تفصیل سے ہونی چاہیے۔,Urdu,Neutral
