course_id,feedback_by,rating,feedback
CS101,Student,5,The course was excellent and the explanations were very clear.
DS201,Student,5,I really enjoyed the practical examples and found the lessons useful.
WD101,Student,5,The instructor explained difficult concepts in a simple way.
UIUX101,Student,5,The course was well structured and easy to follow.
AI201,Student,5,I learned a lot from this course and would definitely recommend it.
CS101,Learner,5,The assignments were helpful and reinforced what was taught.
DS201,Student,5,The videos were engaging and the pace was comfortable.
WD101,Learner,5,This course exceeded my expectations and provided valuable skills.
UIUX101,Student,5,The examples made the concepts much easier to understand.
AI201,Learner,5,"Overall, this was a very useful and enjoyable learning experience."
CS101,Student,3,The course was okay and covered the main topics adequately.
DS201,Learner,3,"The content was informative, but some sections felt a little long."
WD101,Student,3,"The explanations were understandable, although I needed to review a few lessons."
UIUX101,Student,3,"The course provided useful information, but I expected more practical exercises."
AI201,Learner,3,The lessons were neither too difficult nor too easy.
CS101,Student,3,The course was fairly organized and covered the basic concepts.
DS201,Learner,3,"Some topics were interesting, while others were less relevant to me."
WD101,Student,3,"The examples were helpful, but I would have preferred more of them."
UIUX101,Learner,3,The course met my basic expectations.
AI201,Student,3,"Overall, the learning experience was average."
CS101,Student,2,The course was difficult to follow because some explanations were unclear.
DS201,Learner,2,There were not enough practical exercises to practice the concepts.
WD101,Student,2,The lessons moved too quickly in some sections.
UIUX101,Learner,2,Some of the videos had too much information presented at once.
AI201,Student,2,The course needs better examples for beginners.
CS101,Learner,2,I found several topics confusing and had to search for additional explanations.
DS201,Student,2,The assignments were limited and did not provide enough practice.
WD101,Learner,2,The course could be improved by adding more hands-on projects.
UIUX101,Student,2,"The content was useful, but the presentation could be more engaging."
AI201,Learner,2,I was disappointed because the course did not cover some topics in enough detail.
